,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
36,5901,1/16/16 2:45,1/16/16 2:45,360,0,,1077,8,7,7,2,0,1,10,Credit Card,107,41.8130463,-87.62910519,41.92208254,47
37,4316,1/21/16 20:30,1/21/16 20:45,360,1.3,,16,8,32,6.5,2,0,0,8.5,Credit Card,,41.8130463,-87.62621491,41.88099447,610
38,6468,1/14/16 11:45,1/14/16 11:45,540,0.78,,504,32,32,7,0,0,1,8,Cash,,41.8130463,-87.62197165,41.88498719,605
39,3329,1/11/16 9:30,1/11/16 9:30,0,0,,,21,21,3.25,0.65,0,0,3.9,Unknown,107,41.8130463,-87.71121059,41.9386662,781
40,8102,1/18/16 15:45,1/18/16 16:00,480,1.6,,805,32,8,7.75,0,0,0,7.75,Cash,107,41.8130463,-87.62197165,41.90278805,511
41,3786,1/26/16 14:00,1/26/16 14:00,180,0.6,,805,8,8,4.75,0,0,0,4.75,Cash,,41.8130463,-87.62621491,41.90278805,511
42,2862,1/12/16 21:45,1/12/16 21:45,0,0,,,24,24,3.25,0,0,0,3.25,Cash,10,41.8130463,-87.67635599,41.90120699,510
43,7145,1/15/16 13:15,1/15/16 13:15,360,0.9,,792,32,8,6.25,2,0,0,8.25,Credit Card,92,41.8130463,-87.62099291,41.89321636,615
44,7744,1/13/16 16:00,1/13/16 16:00,120,0.2,,787,8,8,4,0,0,1,5,Cash,107,41.8130463,-87.61971067,41.89833179,649
45,8191,1/19/16 8:30,1/19/16 8:30,480,0,,16,33,32,8.5,2,0,0,10.5,Credit Card,8,41.8130463,-87.61735801,41.88099447,610
46,1727,1/12/16 17:45,1/12/16 18:00,720,1.3,,,,,9,1,0,0,10,Credit Card,,,,,
47,6907,1/7/16 16:00,1/7/16 16:00,420,1.4,,13,32,8,7,0,0,0,7,Cash,,41.8130463,-87.62099291,41.90752008,204
48,8162,1/14/16 18:15,1/14/16 19:00,2880,17.3,,16,76,32,43.5,9.5,0,4,57,Credit Card,,41.8130463,-87.90303966,41.88099447,610
49,8618,1/16/16 3:00,1/16/16 3:00,420,0,,787,8,8,7,0,0,2,9,Cash,8,41.8130463,-87.63186395,41.89833179,649
50,5178,1/23/16 23:15,1/23/16 23:30,960,3.5,,,,,12.5,0,0,1,13.5,Cash,,,,,
51,8247,1/2/16 17:00,1/2/16 17:00,360,0.9,,134,8,24,6.25,0,0,0,6.25,Cash,101,41.8130463,-87.63186395,41.89830587,163
52,8591,1/3/16 3:30,1/3/16 3:45,360,1.2,,16,8,32,6.5,2,0,1,9.5,Credit Card,101,41.8130463,-87.62910519,41.88099447,610
53,4751,1/4/16 11:15,1/4/16 11:15,360,0.8,,911,8,8,5.45,1,0,0,6.45,Credit Card,82,41.8130463,-87.61971067,41.89092203,206
54,2438,1/6/16 1:30,1/6/16 1:45,900,5.5,,,,20,15.25,0,0,0,15.25,Cash,,,,41.92434708,245
55,5209,1/14/16 16:00,1/14/16 16:00,480,1.2,,,,,7,1,0,0,8,Credit Card,,,,,
56,1005,1/1/16 22:15,1/1/16 22:30,540,3.8,,,33,24,10.85,0,0,1.5,12.35,Cash,109,41.8130463,-87.62033462,41.90120699,510
57,746,1/18/16 14:15,1/18/16 15:00,2940,21.1,,515,76,33,52.25,0,0,4,56.25,Cash,,41.8130463,-87.90303966,41.84924675,619
58,7271,1/8/16 10:00,1/8/16 10:15,420,1.3,,504,28,32,6.75,0,0,1,7.75,Cash,3,41.8130463,-87.642649,41.88498719,605
59,6075,1/10/16 2:45,1/10/16 2:45,240,0.9,,504,8,32,5.5,0,0,1,6.5,Cash,,41.8130463,-87.62887416,41.88498719,605
60,7837,1/24/16 19:00,1/24/16 19:45,2100,13.6,,,76,77,36.25,8.05,0,4,48.3,Credit Card,109,41.8130463,-87.9136246,41.9867118,288
61,7056,1/12/16 20:30,1/12/16 20:30,0,0,,,,,15.75,3.94,0,0,19.69,Credit Card,119,,,,
62,5810,1/21/16 19:15,1/21/16 19:15,240,0.87,,40,32,28,5.5,2,0,0,7.5,Credit Card,,41.8130463,-87.63274649,41.88530002,408
63,5258,1/14/16 9:15,1/14/16 9:30,480,1.4,,16,8,32,7.25,0,0,0,7.25,Cash,,41.8130463,-87.6266589,41.88099447,610
64,3567,1/5/16 9:15,1/5/16 9:45,1020,1.4,,16,8,32,11.25,0,0,0,11.25,Cash,,41.8130463,-87.61971067,41.88099447,610
65,65,1/13/16 19:15,1/13/16 19:30,660,2.1,,,,,9,0,0,0,9,Cash,,,,,
66,1474,1/22/16 17:15,1/22/16 17:45,1320,5.7,,,8,5,18.75,3.75,0,0,22.5,Credit Card,,41.8130463,-87.63330804,41.94779159,708
67,2924,1/9/16 23:15,1/9/16 23:15,780,4.5,,694,8,7,14,0,0,1,15,Cash,,41.8130463,-87.62887416,41.92907766,671
68,433,1/5/16 21:45,1/5/16 21:45,0,0,,,28,28,3.25,5,0,9,17.25,Credit Card,109,41.8130463,-87.66351755,41.87400538,270
69,4605,1/18/16 15:15,1/18/16 15:15,300,0.5,,970,8,8,5.25,0,0,4,9.25,Cash,107,41.8130463,-87.62621053,41.89250778,470
70,2353,1/3/16 2:30,1/3/16 2:30,0,0,,,,,8,0,0,0,8,Credit Card,68,,,,
71,8353,1/12/16 17:30,1/12/16 17:45,720,1.5,,13,32,8,8.75,0,0,0,8.75,Cash,,41.8130463,-87.62099291,41.90752008,204
72,1748,1/21/16 19:30,1/21/16 19:30,360,0,,899,32,8,6.25,0,0,1,7.25,Cash,8,41.8130463,-87.63274649,41.89207264,351
73,6046,1/9/16 23:15,1/9/16 23:45,1560,9.7,,,28,1,27.25,0,0,1,28.25,Cash,,41.8130463,-87.66351755,42.00962288,370
74,1671,1/7/16 19:30,1/7/16 20:00,1560,6.9,,,32,6,21.25,3,0,0,24.25,Credit Card,6,41.8130463,-87.62519214,41.9442266,500
75,7215,1/9/16 2:45,1/9/16 2:45,420,1.7,,,,,7.5,0,0,0,7.5,Cash,92,,,,
76,5272,1/20/16 21:00,1/20/16 21:00,540,200,,807,8,28,8.75,2,0,0,10.75,Credit Card,,41.8130463,-87.62621053,41.87925508,545
77,8285,1/2/16 22:15,1/2/16 22:15,180,0,,,22,22,5.25,0,0,0,5.25,Cash,107,41.8130463,-87.69915534,41.92276062,668
78,6628,1/26/16 23:00,1/26/16 23:15,960,7.6,,,8,4,21,0,0,0,21,Cash,107,41.8130463,-87.63330804,41.97517094,780
79,7152,1/29/16 18:30,1/29/16 18:30,0,0,,,,,12.25,2.45,0,0,14.7,Credit Card,119,,,,
80,2043,1/12/16 10:30,1/12/16 10:45,660,1,,307,32,32,7.5,2,0,1,10.5,Credit Card,101,41.8130463,-87.63274649,41.87740612,231
81,7310,1/25/16 21:45,1/25/16 21:45,300,1,,911,8,8,6,0,0,0,6,Cash,,41.8130463,-87.62910519,41.89092203,206
82,7152,1/22/16 17:15,1/22/16 17:15,0,0,,,,,4.25,1.06,0,0,5.31,Credit Card,119,,,,
83,6016,1/11/16 23:30,1/11/16 23:30,0,0,,313,76,76,3.25,0,0,0,3.25,Cash,8,41.8130463,-87.90303966,41.97907082,6
84,734,1/24/16 6:15,1/24/16 6:30,420,0,,,6,6,6.25,0,0,1,7.25,Credit Card,8,41.8130463,-87.65599818,41.9442266,500
85,2979,1/23/16 20:45,1/23/16 21:00,900,3.8,,,24,6,13,0,0,0,13,Cash,,41.8130463,-87.67635599,41.9442266,500
86,6088,1/12/16 8:15,1/12/16 8:30,360,0.8,,307,28,32,5.75,0,0,0,5.75,Cash,109,41.8130463,-87.642649,41.87740612,231
87,2331,1/22/16 0:00,1/22/16 0:15,600,5.5,,,8,21,16.5,0,0,0,16.5,Cash,101,41.8130463,-87.63330804,41.9386662,781
88,2147,1/15/16 10:00,1/15/16 10:15,900,7,,,43,35,20.25,2,0,0,22.25,Credit Card,107,41.8130463,-87.57278199,41.83511799,107
89,4298,1/5/16 2:30,1/5/16 2:45,300,0,,,28,8,6.5,0,0,0,6.5,Cash,107,41.8130463,-87.66351755,41.89960211,346
90,2542,1/20/16 17:15,1/20/16 17:15,0,0,,,,,14.25,2.85,0,0,17.1,Credit Card,119,,,,
91,5018,1/12/16 13:30,1/12/16 13:30,720,3.7,,,8,24,12.5,2.5,0,0,15,Credit Card,,41.8130463,-87.63330804,41.90120699,510
92,1603,1/8/16 22:00,1/8/16 22:15,900,0.3,,37,8,4,18,3.6,0,0,21.6,Credit Card,107,41.8130463,-87.62910519,41.96514171,260
93,8169,1/19/16 17:30,1/19/16 18:15,2760,18.3,,16,76,32,46.25,10.05,0,4,60.3,Credit Card,109,41.8130463,-87.90303966,41.88099447,610
94,8394,1/17/16 7:45,1/17/16 8:00,420,1.9,,807,8,28,8.25,2,0,1,11.25,Credit Card,,41.8130463,-87.61886836,41.87925508,545
95,6535,1/9/16 11:15,1/9/16 11:30,1500,18.2,,313,32,76,45.25,0,0,1,46.25,Cash,92,41.8130463,-87.62099291,41.97907082,6
96,3047,1/17/16 19:15,1/17/16 19:15,0,0,,,,,6.75,1.35,0,0,8.1,Credit Card,119,,,,
97,7330,1/23/16 9:15,1/23/16 9:30,420,2.1,,,8,8,8.25,0,0,0,8.25,Cash,,41.8130463,-87.63330804,41.89960211,346
98,1952,1/28/16 9:00,1/28/16 9:15,420,1.3,,504,8,32,7,0,0,0,7,Cash,,41.8130463,-87.62621053,41.88498719,605
