player,runs,0,1,2,3,4,6,-1
J Suchith,48,12,10,5,0,4,2,33
Yashpal Singh,47,39,20,2,1,5,0,67
HV Patel,47,15,15,3,0,2,3,38
CR Woakes,46,21,18,3,0,4,1,47
VR Aaron,46,30,18,4,0,2,2,56
Mohammed Shami,46,24,14,2,0,4,2,46
I Sharma,45,31,21,3,0,3,1,59
Sunny Singh,43,12,11,1,0,6,1,31
SK Trivedi,42,37,16,4,0,3,1,61
AB Barath,42,22,14,1,0,5,1,43
JDS Neesham,42,25,10,7,0,3,1,46
A Nehra,41,37,21,1,0,3,1,63
LPC Silva,40,10,8,3,0,5,1,27
BR Dunk,40,20,6,3,0,7,0,36
MM Patel,39,18,17,1,0,5,0,41
DJ Thornely,39,31,19,0,0,2,2,54
Umar Gul,39,8,5,0,0,1,5,19
AUK Pathan,39,14,3,2,0,5,2,26
SP Jackson,38,10,14,2,0,5,0,31
JO Holder,38,18,6,2,0,4,2,32
S Narwal,37,12,9,2,0,6,0,29
Sohail Tanvir,36,11,14,2,0,3,1,31
Joginder Sharma,36,10,14,3,0,1,2,30
L Balaji,36,29,15,2,1,2,1,50
AN Ahmed,36,11,8,3,0,4,1,27
KW Richardson,36,17,16,3,0,2,1,39
R Tewatia,35,9,7,3,0,4,1,24
A Kumble,35,24,21,1,0,3,0,49
B Sumanth,35,15,17,3,0,3,0,38
L Ronchi,34,26,4,0,0,6,1,37
S Sreesanth,34,43,6,2,0,6,0,57
A Mithun,34,11,8,2,0,4,1,26
AP Dole,34,7,8,4,0,3,1,23
Anureet Singh,33,21,19,0,0,2,1,43
D Salunkhe,33,8,9,2,0,5,0,24
RJ Peterson,32,15,12,1,0,3,1,32
T Taibu,31,9,9,5,0,3,0,26
S Sriram,31,18,15,2,0,3,0,38
C Munro,30,13,12,3,0,3,0,31
J Syed Mohammad,29,11,11,1,0,4,0,27
VH Zol,29,13,7,2,0,3,1,26
Basil Thampi,28,13,12,3,0,1,1,30
SB Jakati,28,12,14,1,0,3,0,30
S Nadeem,26,51,16,3,0,1,0,71
AB Dinda,26,31,16,1,0,2,0,50
Sandeep Sharma,26,14,20,1,0,1,0,36
JM Kemp,26,11,9,2,1,1,1,25
NL McCullum,26,8,9,4,1,0,1,23
A Choudhary,25,4,13,1,0,1,1,20
JJ Bumrah,25,12,11,2,0,1,1,27
S Chanderpaul,25,20,9,0,0,4,0,33
PJ Sangwan,24,18,14,3,0,1,0,36
MA Khote,24,10,8,1,0,2,1,22
ER Dwivedi,24,7,4,0,0,2,2,15
J Arunkumar,23,16,3,0,0,5,0,24
SW Tait,23,11,13,0,0,1,1,26
BMAJ Mendis,23,8,15,4,0,0,0,27
NS Naik,23,16,13,3,0,1,0,33
MS Wade,22,15,14,4,0,0,0,33
GB Hogg,22,5,14,2,0,1,0,22
DE Bollinger,21,11,9,1,0,1,1,23
CA Ingram,21,12,11,1,0,2,0,26
AD Nath,20,14,10,3,0,1,0,28
Kuldeep Yadav,20,9,10,1,0,2,0,22
RR Raje,20,6,10,0,0,1,1,18
M Muralitharan,20,17,9,2,1,1,0,30
AC Thomas,20,8,8,1,0,1,1,19
Harpreet Singh,20,8,16,2,0,0,0,26
NJ Maddinson,20,15,1,0,1,4,0,21
Vishnu Vinod,19,15,9,0,0,1,1,26
A Mukund,19,9,11,2,0,1,0,23
R Bishnoi,19,11,3,0,0,1,2,17
DR Martyn,19,10,15,0,0,1,0,26
Y Gnaneswara Rao,19,9,5,1,0,3,0,18
R Shukla,19,10,11,0,0,2,0,23
P Sahu,19,4,5,2,0,1,1,13
Imran Tahir,18,17,4,1,0,3,0,25
DS Lehmann,18,10,6,0,0,3,0,19
Harmeet Singh,18,5,2,2,0,3,0,12
JJ van der Wath,18,8,6,1,0,1,1,17
BJ Haddin,18,5,2,1,0,2,1,11
PV Tambe,18,24,14,0,0,1,0,39
Parvez Rasool,17,7,11,1,0,1,0,20
CK Kapugedera,16,10,12,2,0,0,0,24
PP Ojha,16,30,14,1,0,0,0,45
YS Chahal,15,15,13,1,0,0,0,29
KC Cariappa,15,8,9,0,0,0,1,18
VY Mahesh,15,15,11,2,0,0,0,28
GR Napier,15,7,5,3,0,1,0,16
C Madan,15,15,3,0,0,3,0,21
SA Abbott,15,7,3,1,0,1,1,13
DL Chahar,14,2,2,0,0,0,2,6
MDKJ Perera,14,8,2,0,0,3,0,13
S Gopal,14,16,10,0,0,1,0,27
F Behardien,14,5,6,0,0,2,0,13
S Badree,13,14,9,2,0,0,0,25
DT Patil,13,5,5,2,0,1,0,13
KJ Abbott,13,3,2,1,1,0,1,8
AR Bawne,12,4,6,1,0,1,0,12
Swapnil Singh,12,10,8,2,0,0,0,20
T Thushara,12,10,6,3,0,0,0,19
AA Chavan,12,5,4,0,0,2,0,11
DAJ Bracewell,12,1,6,1,0,1,0,9
K Upadhyay,12,3,4,1,0,0,1,9
Karanveer Singh,12,9,6,1,0,1,0,17
Rashid Khan,11,4,3,1,0,0,1,9
T Kohli,11,14,5,0,0,0,1,20
DNT Zoysa,11,3,3,2,0,1,0,9
M Ntini,11,15,1,1,0,2,0,19
T Henderson,11,11,3,1,0,0,1,16
D du Preez,10,5,6,2,0,0,0,13
J Theron,10,6,6,0,0,1,0,13
KAJ Roach,10,3,4,1,0,1,0,9
TD Paine,10,19,10,0,0,0,0,29
AG Murtaza,10,7,6,0,0,1,0,14
SMSM Senanayake,10,8,8,1,0,0,0,17
X Thalaivan Sargunam,10,9,6,2,0,0,0,17
Washington Sundar,9,6,3,3,0,0,0,12
S Kaul,9,7,3,3,0,0,0,13
AA Noffke,9,6,5,0,0,1,0,12
SM Harwood,9,7,5,2,0,0,0,14
TS Mills,8,8,2,0,0,0,1,11
TM Srivastava,8,5,5,0,1,0,0,11
Jaskaran Singh,8,5,4,2,0,0,0,11
CK Langeveldt,8,6,2,0,0,0,1,9
CJ McKay,8,8,6,1,0,0,0,15
SN Thakur,7,5,3,0,0,1,0,9
AF Milne,7,6,5,1,0,0,0,12
Ankit Soni,7,7,1,0,0,0,1,9
Pankaj Singh,7,6,5,1,0,0,0,12
AN Ghosh,7,5,1,1,0,1,0,8
VS Malik,7,3,3,0,0,1,0,7
I Malhotra,7,0,3,0,0,1,0,4
UA Birla,7,11,3,0,0,1,0,15
DM Bravo,6,2,2,0,0,1,0,5
AS Rajpoot,6,11,0,1,0,1,0,13
SB Joshi,6,10,6,0,0,0,0,16
SS Shaikh,6,4,2,0,0,1,0,7
BA Bhatt,6,6,0,0,0,0,1,7
PSP Handscomb,6,6,6,0,0,0,0,12
J Yadav,6,6,6,0,0,0,0,12
A Zampa,5,6,1,0,0,1,0,8
JD Unadkat,5,8,5,0,0,0,0,13
TA Boult,5,5,1,2,0,0,0,8
SJ Srivastava,5,1,3,1,0,0,0,5
KMDN Kulasekara,5,1,1,0,0,1,0,3
P Awana,5,9,5,0,0,0,0,14
Shivam Sharma,5,1,1,0,0,1,0,3
VRV Singh,4,2,0,0,0,1,0,3
GD McGrath,4,4,0,0,0,1,0,5
CRD Fernando,4,0,2,1,0,0,0,3
FH Edwards,4,3,1,0,1,0,0,5
A Uniyal,4,3,4,0,0,0,0,7
DP Nannes,4,9,4,0,0,0,0,13
RS Sodhi,4,1,0,0,0,1,0,2
A Chandila,4,3,4,0,0,0,0,7
B Laughlin,4,5,4,0,0,0,0,9
BB Sran,4,0,4,0,0,0,0,4
RD Chahar,3,0,1,1,0,0,0,2
CJ Jordan,3,3,1,1,0,0,0,5
D Kalyankrishna,3,5,3,0,0,0,0,8
Mohammad Asif,3,3,3,0,0,0,0,6
Younis Khan,3,4,3,0,0,0,0,7
Kamran Khan,3,3,1,1,0,0,0,5
BAW Mendis,3,3,3,0,0,0,0,6
S Tyagi,3,1,3,0,0,0,0,4
R Ninan,3,3,3,0,0,0,0,6
JE Taylor,3,2,1,1,0,0,0,4
Mohammad Nabi,2,2,0,1,0,0,0,3
Shoaib Akhtar,2,6,2,0,0,0,0,8
H Das,2,3,2,0,0,0,0,5
VS Yeligati,2,1,0,1,0,0,0,2
KP Appanna,2,2,2,0,0,0,0,4
Mashrafe Mortaza,2,1,0,1,0,0,0,2
A Singh,2,8,2,0,0,0,0,10
Mohammad Ashraful,2,10,2,0,0,0,0,12
RS Gavaskar,2,6,2,0,0,0,0,8
SB Wagh,2,2,0,1,0,0,0,3
S Randiv,2,3,0,1,0,0,0,4
RG More,2,0,2,0,0,0,0,2
LH Ferguson,1,0,1,0,0,0,0,1
PM Sarvesh Kumar,1,1,1,0,0,0,0,2
DP Vijaykumar,1,0,1,0,0,0,0,1
Shoaib Ahmed,1,5,1,0,0,0,0,6
SE Bond,1,1,1,0,0,0,0,2
NJ Rimmington,1,0,1,0,0,0,0,1
P Parameswaran,1,2,1,0,0,0,0,3
BE Hendricks,1,2,1,0,0,0,0,3
M de Lange,1,1,1,0,0,0,0,2
DJ Muthuswami,1,2,1,0,0,0,0,3
U Kaul,0,1,0,0,0,0,0,1
Abdur Razzak,0,2,0,0,0,0,0,2
C Nanda,0,1,0,0,0,0,0,1
YA Abdulla,0,1,0,0,0,0,0,1
S Ladda,0,10,0,0,0,0,0,10
L Ablish,0,2,0,0,0,0,0,2
ND Doshi,0,13,0,0,0,0,0,13
RR Bhatkal,0,2,0,0,0,0,0,2
V Pratap Singh,0,1,0,0,0,0,0,1
Sunny Gupta,0,1,0,0,0,0,0,1
IC Pandey,0,2,0,0,0,0,0,2
M Ashwin,0,1,0,0,0,0,0,1
S Kaushik,0,1,0,0,0,0,0,1
